Variante;Simulationsjahr;mw;Bev;Bev_0_1;Bev_1_2;Bev_2_3;Bev_3_4;Bev_4_5;Bev_5_6;Bev_6_7;Bev_7_8;Bev_8_9;Bev_9_10;Bev_10_11;Bev_11_12;Bev_12_13;Bev_13_14;Bev_14_15;Bev_15_16;Bev_16_17;Bev_17_18;Bev_18_19;Bev_19_20;Bev_20_21;Bev_21_22;Bev_22_23;Bev_23_24;Bev_24_25;Bev_25_26;Bev_26_27;Bev_27_28;Bev_28_29;Bev_29_30;Bev_30_31;Bev_31_32;Bev_32_33;Bev_33_34;Bev_34_35;Bev_35_36;Bev_36_37;Bev_37_38;Bev_38_39;Bev_39_40;Bev_40_41;Bev_41_42;Bev_42_43;Bev_43_44;Bev_44_45;Bev_45_46;Bev_46_47;Bev_47_48;Bev_48_49;Bev_49_50;Bev_50_51;Bev_51_52;Bev_52_53;Bev_53_54;Bev_54_55;Bev_55_56;Bev_56_57;Bev_57_58;Bev_58_59;Bev_59_60;Bev_60_61;Bev_61_62;Bev_62_63;Bev_63_64;Bev_64_65;Bev_65_66;Bev_66_67;Bev_67_68;Bev_68_69;Bev_69_70;Bev_70_71;Bev_71_72;Bev_72_73;Bev_73_74;Bev_74_75;Bev_75_76;Bev_76_77;Bev_77_78;Bev_78_79;Bev_79_80;Bev_80_81;Bev_81_82;Bev_82_83;Bev_83_84;Bev_84_85;Bev_85_86;Bev_86_87;Bev_87_88;Bev_88_89;Bev_89_90;Bev_90_91;Bev_91_92;Bev_92_93;Bev_93_94;Bev_94_95;Bev_95_96;Bev_96_97;Bev_97_98;Bev_98_99;Bev_99_100
0;2018;m;40967;402;408;411;399;394;380;379;370;379;374;383;382;375;378;387;387;396;409;436;455;468;491;487;480;489;504;512;530;580;570;584;570;557;539;534;533;542;534;535;509;502;497;486;475;479;481;522;574;595;639;669;684;701;703;713;704;678;663;637;616;579;561;540;517;499;476;471;457;453;434;393;363;310;265;350;348;330;386;390;368;326;286;257;227;191;137;119;105;94;76;61;45;33;23;15;10;7;5;3;2
0;2018;w;42053;382;388;392;378;373;360;358;350;359;353;363;360;352;357;365;365;371;379;400;407;424;443;442;437;446;463;473;492;536;532;543;533;527;512;510;512;524;522;525;500;493;488;480;467;474;478;516;566;586;626;655;672;688;689;701;695;674;665;643;623;588;574;559;543;535;518;515;503;500;480;434;408;353;311;411;413;396;479;497;481;435;393;366;336;294;221;204;190;181;156;133;108;90;73;55;41;30;23;15;8
